player,org,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch_wins,max_kills,kills,deaths,assists,first_kills,first_deaths
tok1o,9ZG.GC,201,1.48,291.9,1.69,79%,194.5,1.05,0.28,0.10,0.08,26%,29%,7/24,28,211,125,57,21,16
Vania,G2.G,343,1.44,243.9,1.73,84%,154.8,0.88,0.48,0.07,0.04,41%,27%,7/26,25,302,175,165,22,12
azys,MOGO,292,1.42,307.2,1.61,73%,190.5,1.10,0.24,0.24,0.11,32%,19%,3/16,31,321,200,70,69,32
Alexy,XIP,201,1.42,250.2,1.80,83%,164.3,0.92,0.36,0.10,0.08,32%,8%,1/13,26,184,102,73,20,16
consz,MGLZ,201,1.38,269.4,1.42,78%,176.9,0.97,0.27,0.14,0.11,31%,32%,7/22,30,195,137,55,29,23
dods,KRÜ.B,213,1.34,302.8,1.54,76%,194.6,1.10,0.17,0.25,0.15,36%,33%,3/9,35,235,153,36,54,31
florescent,SR,390,1.33,288.5,1.52,76%,184.6,0.99,0.24,0.22,0.14,32%,11%,3/27,26,387,255,95,85,56
mmonch,AKV.GC,209,1.33,255.0,1.53,79%,161.8,0.92,0.21,0.11,0.05,35%,19%,6/31,26,193,126,43,24,11
conir,KRÜ.B,213,1.33,244.6,1.53,81%,153.1,0.88,0.41,0.08,0.07,28%,32%,6/19,24,187,122,88,18,14
iZu,T1,238,1.28,224.4,1.40,81%,140.4,0.79,0.37,0.13,0.08,27%,24%,6/25,23,189,135,88,31,18
Spaz,BLIN,558,1.28,221.8,1.31,77%,138.8,0.77,0.48,0.07,0.06,21%,27%,24/90,23,431,330,269,41,36
Papi,GE,266,1.27,231.2,1.34,77%,145.9,0.83,0.42,0.07,0.06,29%,12%,6/52,36,222,166,111,19,16
Fair,SCC,453,1.27,275.3,1.34,72%,175.8,0.98,0.17,0.22,0.17,31%,11%,3/28,32,444,331,79,98,75
Persia,SPG,282,1.26,226.3,1.30,77%,151.3,0.79,0.46,0.09,0.10,35%,26%,9/35,23,223,171,129,25,28
Munchkin,GEN,204,1.26,233.1,1.37,75%,149.1,0.78,0.47,0.10,0.08,24%,24%,5/21,23,160,117,96,20,16
sarahcat,SR,445,1.25,240.6,1.39,79%,154.8,0.85,0.31,0.12,0.09,29%,13%,3/24,27,379,272,136,53,39
enerii,XIP,201,1.24,272.7,1.36,78%,169.9,0.95,0.27,0.25,0.18,21%,10%,1/10,27,191,140,54,51,36
emluo,PAW,395,1.23,248.0,1.27,71%,160.6,0.89,0.20,0.16,0.08,46%,20%,11/54,29,352,277,79,64,33
Vuubit,GMB,205,1.23,237.3,1.33,78%,157.2,0.88,0.26,0.11,0.07,46%,13%,3/23,29,181,136,53,23,14
zekken,SEN,270,1.23,264.9,1.33,75%,164.4,0.95,0.20,0.17,0.14,25%,31%,5/16,30,257,193,55,46,37
woddy,PHX,303,1.23,223.7,1.19,72%,152.7,0.82,0.23,0.07,0.05,37%,14%,9/66,28,249,210,69,20,16
nabil,RESO,316,1.22,232.0,1.22,77%,152.3,0.82,0.42,0.10,0.10,25%,15%,6/41,25,259,212,134,31,31
Kamiyu,XIP,201,1.21,225.8,1.31,79%,147.2,0.79,0.53,0.08,0.07,32%,30%,3/10,25,158,121,106,16,15
lcdFFF,KNGI,227,1.21,243.4,1.22,70%,157.2,0.87,0.15,0.18,0.09,17%,17%,7/41,28,197,161,34,40,21
shirazi,XIP,201,1.21,210.1,1.42,82%,138.8,0.71,0.39,0.06,0.05,18%,16%,3/19,24,143,101,78,13,10
wippie,C9,224,1.21,195.0,1.31,79%,132.1,0.71,0.44,0.06,0.04,26%,18%,7/38,21,160,122,98,14,10
madv,FLCV,551,1.20,229.4,1.25,77%,153.1,0.81,0.37,0.09,0.06,37%,21%,11/52,29,447,357,205,52,31
bstrdd,TL,464,1.20,254.9,1.28,70%,167.1,0.88,0.20,0.22,0.17,25%,15%,4/27,30,410,321,94,100,81
kaajak,FNC,250,1.20,277.9,1.36,68%,173.8,0.99,0.15,0.24,0.18,42%,,0/8,27,248,183,38,59,45
Bizerra,TL,464,1.20,225.9,1.20,76%,148.6,0.80,0.42,0.09,0.08,26%,17%,7/42,32,373,311,195,42,39
karie,SNG,554,1.20,246.1,1.30,74%,161.1,0.90,0.25,0.06,0.07,34%,19%,13/67,31,499,383,137,34,37
Leen,,253,1.20,264.5,1.23,73%,168.1,0.94,0.12,0.23,0.18,33%,17%,3/18,26,237,192,31,58,45
Kon,SISU,240,1.19,236.2,1.19,75%,163.4,0.84,0.21,0.08,0.08,38%,9%,4/44,29,202,170,51,20,19
YESicaN,FCY,493,1.19,228.4,1.17,73%,154.7,0.79,0.35,0.09,0.06,36%,13%,10/80,30,388,332,171,42,30
Jade,,499,1.19,225.6,1.16,73%,143.3,0.79,0.43,0.08,0.06,30%,19%,14/74,29,392,337,217,41,28
Noia,SR,445,1.19,223.5,1.39,76%,145.2,0.79,0.23,0.08,0.07,32%,20%,11/56,22,350,252,104,37,32
Lar0k,BCF,451,1.18,207.1,1.20,73%,132.4,0.75,0.38,0.08,0.06,32%,17%,10/58,25,339,282,171,36,26
dodonut,FLY.R,544,1.18,230.5,1.20,74%,153.3,0.79,0.24,0.14,0.12,25%,22%,12/55,33,432,360,131,77,67
CXIX666,MGLZ,201,1.18,205.2,1.26,78%,141.3,0.75,0.30,0.11,0.06,23%,24%,9/37,26,150,119,60,23,13
rezq,G2.G,343,1.18,285.2,1.40,75%,176.6,1.00,0.20,0.29,0.19,24%,11%,1/9,31,342,245,67,93,62
sayoo,BTR,243,1.17,237.4,1.17,76%,156.8,0.84,0.43,0.12,0.11,28%,30%,6/20,42,204,174,105,28,27
Karon,GEN,204,1.17,202.1,1.30,75%,126.6,0.74,0.42,0.08,0.07,32%,24%,7/29,21,150,115,86,17,15
jowa,ENVE,727,1.17,215.8,1.16,78%,143.0,0.75,0.39,0.06,0.06,30%,17%,18/105,32,542,469,280,45,40
Meteor,T1,238,1.17,232.7,1.34,72%,155.5,0.84,0.24,0.12,0.13,28%,24%,6/25,25,201,150,56,28,30
Killua,MITH,234,1.17,225.4,1.25,75%,150.4,0.85,0.21,0.12,0.09,44%,17%,4/23,22,198,159,48,28,22
D4rf,XIA,343,1.17,220.8,1.17,79%,140.2,0.77,0.47,0.10,0.08,32%,25%,8/32,25,265,227,161,34,28
LauGuz,MVR,219,1.17,238.3,1.17,75%,163.7,0.84,0.21,0.14,0.11,31%,17%,4/23,24,184,157,45,30,24
Reduxx,SEN,204,1.16,238.2,1.20,75%,156.6,0.83,0.28,0.20,0.17,30%,5%,1/20,28,169,141,57,41,34
karam1l,NES,363,1.16,245.9,1.18,69%,167.3,0.87,0.15,0.13,0.09,37%,8%,4/51,29,317,269,56,48,31
