player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
tok1o,9ZG.GC,1.48,291.9,1.69,79%,194.5,1.05,0.28,0.10,0.08,26%,29%
Vania,G2.G,1.44,243.9,1.73,84%,154.8,0.88,0.48,0.07,0.04,41%,27%
azys,MOGO,1.42,307.2,1.61,73%,190.5,1.10,0.24,0.24,0.11,32%,19%
Alexy,XIP,1.42,250.2,1.80,83%,164.3,0.92,0.36,0.10,0.08,32%,8%
consz,MGLZ,1.38,269.4,1.42,78%,176.9,0.97,0.27,0.14,0.11,31%,32%
dods,KRÜ.B,1.34,302.8,1.54,76%,194.6,1.10,0.17,0.25,0.15,36%,33%
florescent,SR,1.33,288.5,1.52,76%,184.6,0.99,0.24,0.22,0.14,32%,11%
conir,KRÜ.B,1.33,244.6,1.53,81%,153.1,0.88,0.41,0.08,0.07,28%,32%
mmonch,AKV.GC,1.33,255.0,1.53,79%,161.8,0.92,0.21,0.11,0.05,35%,19%
zekken,SEN,1.32,279.6,1.45,77%,172.3,1.02,0.20,0.18,0.11,26%,36%
Fair,SCC,1.28,278.3,1.38,72%,176.7,1.00,0.16,0.23,0.16,31%,13%
Spaz,BLIN,1.28,221.8,1.31,77%,138.8,0.77,0.48,0.07,0.06,21%,27%
iZu,T1,1.27,221.5,1.39,82%,140.5,0.78,0.36,0.14,0.08,28%,24%
Persia,SPG,1.26,226.3,1.30,77%,151.3,0.79,0.46,0.09,0.10,35%,26%
sarahcat,SR,1.25,240.6,1.39,79%,154.8,0.85,0.31,0.12,0.09,29%,13%
enerii,XIP,1.24,272.7,1.36,78%,169.9,0.95,0.27,0.25,0.18,21%,10%
Vuubit,GMB,1.23,237.3,1.33,78%,157.2,0.88,0.26,0.11,0.07,46%,13%
woddy,PHX,1.23,223.7,1.19,72%,152.7,0.82,0.23,0.07,0.05,37%,14%
emluo,PAW,1.23,248.0,1.27,71%,160.6,0.89,0.20,0.16,0.08,46%,20%
Meteor,T1,1.23,240.4,1.40,73%,161.2,0.88,0.23,0.13,0.13,27%,26%
nabil,RESO,1.22,232.0,1.22,77%,152.3,0.82,0.42,0.10,0.10,25%,15%
YESicaN,FCY,1.22,237.4,1.20,74%,158.1,0.81,0.35,0.09,0.06,36%,14%
wippie,C9,1.21,195.0,1.31,79%,132.1,0.71,0.44,0.06,0.04,26%,18%
Kamiyu,XIP,1.21,225.8,1.31,79%,147.2,0.79,0.53,0.08,0.07,32%,30%
shirazi,XIP,1.21,210.1,1.42,82%,138.8,0.71,0.39,0.06,0.05,18%,16%
lcdFFF,dupl,1.21,243.4,1.22,70%,157.2,0.87,0.15,0.18,0.09,17%,17%
madv,FLCV,1.20,229.4,1.25,77%,153.1,0.81,0.37,0.09,0.06,37%,21%
karie,SNG,1.20,246.1,1.30,74%,161.1,0.90,0.25,0.06,0.07,34%,19%
kaajak,FNC,1.20,277.9,1.36,68%,173.8,0.99,0.15,0.24,0.18,42%,
Leen,,1.20,264.5,1.23,73%,168.1,0.94,0.12,0.23,0.18,33%,17%
Bizerra,TL,1.20,225.9,1.20,76%,148.6,0.80,0.42,0.09,0.08,26%,17%
bstrdd,TL,1.20,254.9,1.28,70%,167.1,0.88,0.20,0.22,0.17,25%,15%
Noia,SR,1.19,223.5,1.39,76%,145.2,0.79,0.23,0.08,0.07,32%,20%
Kon,SISU,1.19,236.2,1.19,75%,163.4,0.84,0.21,0.08,0.08,38%,9%
Jade,,1.19,225.6,1.16,73%,143.3,0.79,0.43,0.08,0.06,30%,19%
BuZz,T1,1.19,248.3,1.33,78%,157.5,0.87,0.19,0.20,0.13,20%,7%
Muddy,YDZ,1.19,231.4,1.15,72%,153.4,0.80,0.34,0.09,0.08,34%,19%
Potter,FS,1.18,244.7,1.27,73%,156.5,0.89,0.18,0.17,0.14,33%,14%
rezq,G2.G,1.18,285.2,1.40,75%,176.6,1.00,0.20,0.29,0.19,24%,11%
CXIX666,MGLZ,1.18,205.2,1.26,78%,141.3,0.75,0.30,0.11,0.06,23%,24%
Lar0k,BCF,1.18,207.1,1.20,73%,132.4,0.75,0.38,0.08,0.06,32%,17%
dodonut,FLY.R,1.18,230.5,1.20,74%,153.3,0.79,0.24,0.14,0.12,25%,22%
D4rf,XIA,1.17,220.8,1.17,79%,140.2,0.77,0.47,0.10,0.08,32%,25%
Killua,MITH,1.17,225.4,1.25,75%,150.4,0.85,0.21,0.12,0.09,44%,17%
jowa,ENVE,1.17,215.8,1.16,78%,143.0,0.75,0.39,0.06,0.06,30%,17%
sayoo,BTR,1.17,237.4,1.17,76%,156.8,0.84,0.43,0.12,0.11,28%,30%
LauGuz,MVR,1.17,238.3,1.17,75%,163.7,0.84,0.21,0.14,0.11,31%,17%
ACHRF,OXR,1.16,224.6,1.13,75%,151.5,0.78,0.37,0.11,0.06,23%,8%
Golden,,1.16,229.8,1.18,66%,147.7,0.83,0.17,0.19,0.10,24%,25%
Kyu,AMB,1.16,228.4,1.20,78%,151.5,0.77,0.35,0.09,0.05,25%,8%
karam1l,NES,1.16,245.9,1.18,69%,167.3,0.87,0.15,0.13,0.09,37%,8%
meL,SR,1.16,216.5,1.28,76%,140.0,0.76,0.39,0.11,0.10,28%,18%
Reta,FLCV,1.16,204.8,1.28,82%,137.9,0.77,0.27,0.10,0.06,39%,11%
fluxxy,HERO,1.16,213.3,1.17,77%,139.6,0.77,0.33,0.07,0.05,31%,20%
Reduxx,SEN,1.16,238.2,1.20,75%,156.6,0.83,0.28,0.20,0.17,30%,5%
micaela,KRÜ.B,1.15,186.5,1.32,78%,122.4,0.73,0.30,0.07,0.06,35%,17%
Dantedeu5,AK,1.15,254.4,1.15,74%,161.3,0.87,0.25,0.18,0.15,29%,18%
Juicy,DSG,1.15,222.6,1.20,75%,153.0,0.77,0.26,0.13,0.13,21%,29%
melya,MYTH,1.15,223.0,1.15,74%,146.1,0.78,0.37,0.07,0.05,30%,11%
Paincakes,FAIM,1.15,218.9,1.19,75%,140.9,0.79,0.35,0.08,0.09,31%,19%
Notexxd,LS,1.15,221.5,1.13,71%,149.8,0.79,0.35,0.10,0.09,34%,23%
Kess,UT,1.15,229.8,1.13,73%,149.2,0.78,0.32,0.10,0.06,23%,8%
soulcas,APK,1.15,204.4,1.21,71%,135.3,0.75,0.33,0.06,0.06,36%,14%
damaraa,LCR,1.15,286.9,1.18,76%,173.1,0.95,0.23,0.21,0.17,21%,
Ivy,SPG,1.15,218.6,1.22,80%,141.9,0.77,0.33,0.06,0.06,33%,16%
SpYzera,TU,1.15,207.7,1.18,71%,138.3,0.76,0.30,0.08,0.07,31%,10%
Pa1nt,BLIN,1.14,256.4,1.22,72%,164.7,0.91,0.16,0.23,0.15,29%,23%
KEN,CGZ,1.14,234.2,1.09,74%,167.5,0.78,0.29,0.14,0.11,24%,26%
gMd,TSM,1.14,223.5,1.11,75%,143.8,0.78,0.41,0.10,0.08,29%,16%
Moh,TU,1.14,215.7,1.19,73%,140.8,0.78,0.24,0.13,0.10,35%,18%
UR,ZETA.GC,1.13,214.8,1.03,67%,149.1,0.74,0.36,0.10,0.07,26%,19%
Ask,BCS,1.13,217.3,1.09,73%,146.0,0.75,0.31,0.07,0.07,25%,21%
silentzz,2G,1.13,239.0,1.20,73%,154.8,0.86,0.16,0.17,0.11,32%,6%
robot,RB,1.13,228.2,1.12,73%,150.9,0.80,0.36,0.13,0.11,27%,14%
LoRangeZ,INFN,1.13,207.5,1.13,75%,135.4,0.73,0.45,0.09,0.06,32%,15%
VYX,curs,1.13,199.7,1.15,77%,130.3,0.71,0.36,0.06,0.06,30%,9%
Kadoom,SPE,1.12,242.8,1.23,73%,158.5,0.87,0.15,0.17,0.17,25%,13%
hellff,OGS,1.12,211.3,1.14,72%,140.6,0.74,0.28,0.10,0.08,34%,25%
exa,T1A,1.12,214.7,1.14,71%,144.1,0.78,0.26,0.08,0.09,27%,19%
ArPoom,NKT,1.12,198.5,1.12,79%,137.0,0.73,0.34,0.07,0.07,32%,20%
SkyIsBlue,MGLZ,1.12,234.2,1.14,74%,150.3,0.83,0.33,0.13,0.12,26%,8%
Blahst,FCN,1.11,216.6,1.10,70%,145.3,0.78,0.25,0.08,0.07,28%,14%
tsägä,Life,1.11,235.2,1.07,74%,149.5,0.82,0.38,0.08,0.07,24%,11%
aluvily,Sere,1.11,209.9,1.09,73%,139.4,0.78,0.24,0.09,0.08,34%,9%
Jackk,MYTH,1.11,196.9,1.05,75%,132.8,0.70,0.39,0.06,0.07,31%,17%
Rebo,ROSE,1.11,195.6,1.07,73%,123.1,0.68,0.40,0.08,0.09,22%,18%
Kaoticcc,SaD,1.11,260.5,1.17,72%,167.2,0.89,0.19,0.24,0.17,26%,11%
ellie,aTTaX,1.11,228.3,1.18,68%,151.5,0.84,0.12,0.16,0.14,35%,18%
Bob,Blue,1.11,251.5,1.20,70%,162.5,0.87,0.21,0.17,0.16,26%,11%
